Voltage (V);Current (A)
-1;-0.002973353
-0.98;-0.002970585
-0.96;-0.002953448
-0.94;-0.002960445
-0.92;-0.002952559
-0.9;-0.002942111
-0.88;-0.002929903
-0.86;-0.002921996
-0.84;-0.002913645
-0.82;-0.002917826
-0.8;-0.002913408
-0.78;-0.002917923
-0.76;-0.002923774
-0.74;-0.002924595
-0.72;-0.002932824
-0.7;-0.002914192
-0.68;-0.002918171
-0.66;-0.002914231
-0.64;-0.002918786
-0.62;-0.0029355
-0.6;-0.00292357
-0.58;-0.002921355
-0.56;-0.002925533
-0.54;-0.00291236
-0.52;-0.002902901
-0.5;-0.00289551
-0.48;-0.002880243
-0.46;-0.002889012
-0.44;-0.002884593
-0.42;-0.002874362
-0.4;-0.002880111
-0.38;-0.002888014
-0.36;-0.002886961
-0.34;-0.002882271
-0.32;-0.002879928
-0.3;-0.002887899
-0.28;-0.002875862
-0.26;-0.002860348
-0.24;-0.002860171
-0.22;-0.002844149
-0.2;-0.002846572
-0.18;-0.002848759
-0.16;-0.002832053
-0.14;-0.002837583
-0.12;-0.002806666
-0.1;-0.00280794
-0.08000002;-0.00280148
-0.06000002;-0.002798818
-0.04000002;-0.00279608
-0.02000002;-0.00278985
-2.24E-08;-0.002807072
0.01999998;-0.002797003
0.03999998;-0.002799246
0.05999998;-0.002792756
0.07999998;-0.002785981
0.09999998;-0.002772842
0.12;-0.002793745
0.14;-0.002779715
0.16;-0.002774424
0.18;-0.002774424
0.2;-0.002756788
0.22;-0.002750937
0.24;-0.002730263
0.26;-0.002708892
0.28;-0.002707401
0.3;-0.002692014
0.32;-0.002675684
0.34;-0.002667836
0.36;-0.002651039
0.38;-0.002650207
0.4;-0.002637684
0.42;-0.002608323
0.44;-0.002580271
0.46;-0.002556304
0.48;-0.002507563
0.5;-0.002461892
0.52;-0.002409715
0.54;-0.002337174
0.5599999;-0.002254289
0.58;-0.002141746
0.6;-0.002002533
0.6199999;-0.001813665
0.64;-0.00158634
0.66;-0.001311397
0.6799999;-0.000986345
0.7;-0.000605926
0.72;-0.00018841
0.7399999;0.000262708
0.76;0.000757175
0.78;0.001265461
0.8;0.001793679
0.8199999;0.002335238
0.84;0.002889866
0.86;0.003438504
0.8799999;0.004002415
0.9;0.004564299
0.92;0.005141347
0.9399999;0.005705166
0.96;0.006290307
0.98;0.006882455
0.9999999;0.007490463
