Voltage (V);Current (A)
-6;-0.1581312
-5.8;-0.1582932
-5.6;-0.1583671
-5.4;-0.1582396
-5.2;-0.1580617
-5;-0.1580089
-4.8;-0.1588936
-4.6;-0.1587776
-4.4;-0.1586476
-4.2;-0.1585139
-4;-0.1584532
-3.8;-0.1575756
-3.6;-0.1571196
-3.4;-0.1569601
-3.2;-0.1568707
-3;-0.1566876
-2.8;-0.1565032
-2.6;-0.1575326
-2.4;-0.1573377
-2.2;-0.1572049
-2;-0.157158
-1.8;-0.1570095
-1.6;-0.1567737
-1.4;-0.1556705
-1.2;-0.1556489
-0.9999999;-0.1555106
-0.8;-0.1552541
-0.5999999;-0.1549052
-0.3999999;-0.1555515
-0.1999999;-0.1552464
8.94E-08;-0.1548684
0.2000001;-0.1545167
0.4000001;-0.1542079
0.6000001;-0.1539017
0.8000001;-0.1524883
1;-0.1521065
1.2;-0.1517015
1.4;-0.1512987
1.6;-0.1509843
1.8;-0.1507573
2;-0.151293
2.2;-0.1509087
2.4;-0.1506958
2.6;-0.1503106
2.8;-0.149909
3;-0.1474004
3.2;-0.1425348
3.4;-0.1319242
3.6;-0.113561
3.8;-0.0849606
4;-0.043103
4.2;0.01379996
4.4;0.08849669
4.6;0.1804941
4.8;0.2001193
5;0.2001183
5.2;0.2001209
5.4;0.200123
5.6;0.2001243
5.8;0.2001225
6;0.200131
